DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER
Monday,October,0.0,5.0,9.0,0.0,9.0,10.0,0.0,21.0,23.0
Tuesday,October,0.0,5.0,9.0,0.0,17.0,9.0,0.0,20.0,28.0
Wednesday,October,0.0,7.0,10.0,0.0,12.0,9.0,3.0,18.0,33.0
Thursday,October,0.0,1.0,12.0,0.0,13.0,5.0,0.0,28.0,30.0
Friday,October,0.0,5.0,20.0,0.0,13.0,9.0,2.0,26.0,34.0
Saturday,October,1.0,11.0,10.0,0.0,9.0,9.0,1.0,25.0,21.0
Sunday,October,0.0,6.0,10.0,1.0,11.0,20.0,1.0,18.0,22.0
Monday,October,0.0,10.0,13.0,0.0,9.0,11.0,0.0,25.0,24.0
Tuesday,October,0.0,10.0,19.0,1.0,14.0,3.0,1.0,16.0,30.0
Wednesday,October,0.0,5.0,16.0,1.0,6.0,10.0,0.0,27.0,19.0
Thursday,October,1.0,5.0,14.0,0.0,13.0,5.0,0.0,21.0,21.0
Friday,October,0.0,7.0,19.0,1.0,10.0,14.0,2.0,34.0,34.0
Saturday,October,0.0,4.0,13.0,0.0,18.0,10.0,0.0,27.0,29.0
Sunday,October,0.0,10.0,12.0,0.0,8.0,17.0,0.0,31.0,19.0
Monday,October,1.0,4.0,22.0,0.0,10.0,13.0,1.0,20.0,33.0
Tuesday,October,0.0,7.0,20.0,1.0,14.0,10.0,0.0,22.0,34.0
Wednesday,October,1.0,7.0,16.0,0.0,12.0,6.0,1.0,24.0,37.0
Thursday,October,0.0,2.0,23.0,0.0,8.0,8.0,0.0,29.0,29.0
Friday,October,0.0,5.0,28.0,0.0,14.0,9.0,2.0,32.0,28.0
Saturday,October,0.0,9.0,16.0,0.0,14.0,10.0,0.0,24.0,27.0
Sunday,October,0.0,6.0,13.0,0.0,9.0,16.0,3.0,29.0,17.0
Monday,October,0.0,3.0,23.0,1.0,15.0,13.0,1.0,32.0,28.0
Tuesday,October,0.0,7.0,16.0,1.0,8.0,12.0,0.0,28.0,20.0
Wednesday,October,1.0,9.0,20.0,1.0,8.0,10.0,0.0,30.0,32.0
Thursday,October,0.0,3.0,19.0,0.0,12.0,13.0,1.0,30.0,31.0
Friday,October,0.0,3.0,12.0,1.0,19.0,7.0,1.0,23.0,35.0
Saturday,October,0.0,5.0,12.0,1.0,10.0,17.0,1.0,26.0,33.0
Sunday,October,0.0,9.0,11.0,0.0,10.0,17.0,3.0,32.0,25.0
Monday,November,1.0,5.0,9.0,0.0,13.0,9.0,0.0,26.0,36.0
Tuesday,November,0.0,5.0,8.0,0.0,8.0,11.0,0.0,15.0,20.0
Wednesday,November,0.0,6.0,6.0,0.0,13.0,8.0,0.0,30.0,23.0
Thursday,November,0.0,3.0,9.0,0.0,8.0,6.0,0.0,26.0,27.0
